Kabupaten,logo,url,video
Cilacap,Cilacap.png,http://www.cilacapkab.go.id,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/Sv0sgJ2-oDI?si=jvTyExHWLvkEjXxP"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Banyumas,Banyumas.png,https://www.banyumaskab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/XdbSX2ay-c4?si=p_imXUhdGYdtqUJR"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Purbalingga,Purbalingga.png,https://www.purbalinggakab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/51Wu4ZK2ITY?si=6v4ruW9erJLJXK51"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Banjarnegara,Banjarnegara.png,https://banjarnegarakab.go.id/main/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/eSpFpEPNM7c?si=SqrAmaP2bL0qBeeb"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Kebumen,Kebumen.png,http://www.kebumenkab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/jFGw8Er8yzQ?si=KbRHSLHzk0_DMGmS"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Purworejo,Purworejo.png,https://www.purworejokab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/dfX7cTF0gSU?si=9KTq8TtNqpPi4sip"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Wonosobo,Wonosobo.png,https://www.website.wonosobokab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/LrNAKb0YaUs?si=0t5v0W1dlL3Zd-kq"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Magelang,Magelang.png,https://magelangkab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/G1k2lKwDHGY?si=qoaMwIjI1IBSDRss"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Boyolali,Boyolali.png,https://boyolali.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/z8ei6LZwT78?si=u7G1T4N1HQG2tyTF"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Klaten,Klaten.png,https://klatenkab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/JTyYTODw17w?si=mdHw5zVmX4h4sp4G"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Sukoharjo,Sukoharjo.png,https://portal.sukoharjokab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/aB1mAL-alUI?si=KHvN1IsnsyfWOvLy"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Wonogiri,Wonogiri.png,http://www.wonogirikab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/mHPBjHmwZ2A?si=XQtdHsoyNfgHf-AO"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Karanganyar,Karanganyar.png,https://www.karanganyarkab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/MDs1K6PFGkA?si=fQSV750eIispUN2Q"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Sragen,Sragen.png,http://www.sragenkab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/NnTvJvCXe9I?si=1ay-IJNUTg3UnBKH"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Grobogan,Grobogan.png,http://www.grobogankab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/gHW4wL-q7o4?si=xRHGm0bcGNwyoyDB"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Blora,Blora.png,http://www.blorakab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/LNTimMyvn8M?si=ai4Lerz-xTQA_Te-"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Rembang,Rembang.png,http://www.rembangkab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/q_giaIgBiGo?si=0AWt75IJZNY6aERd"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Pati,Pati.png,http://www.patikab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/gbIZE8PiRRw?si=LN7Tk0AqHdg3OqQe"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Kudus,Kudus.png,http://www.kuduskab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/YY5jjNz3YPI?si=pWhEeKun5p3n7_UZ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Jepara,Jepara.png,http://www.jeparakab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/DfuzW8KjGfw?si=3_Idj4YhONhBkBzh"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Demak,Demak.png,http://www.demakkab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/4n5NefXdJHg?si=Gs5qfCm3svzTXNhX"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Semarang,Semarang.png,http://www.semarangkab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/SY_VXZ89_vc?si=H_70cqXoOsYuwLqm"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Temanggung,Temanggung.png,http://www.temanggungkab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/8gc_XA4HbDM?si=lAFY3F0ia_-HOG0_"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
